Gene ID	Contig counter	Gene name	Taxon
Ga0224629_1018558.13	NODE_18558_length_5621_cov_5.565397-7	hypothetical protein	Halobacteria
Ga0224629_1018674.11	NODE_18674_length_5598_cov_34.015876-6	hypothetical protein	Halobacteria
Ga0224629_1041006.5	NODE_41006_length_3340_cov_8.496195-3	hypothetical protein	Cyanobacteria
Ga0224629_1000061.67	NODE_61_length_59600_cov_7.851239-35	TRAP-type mannitol/chloroaromatic compound transport system permease large subunit	Cyanobacteria
Ga0224629_1001865.20	NODE_1865_length_18150_cov_7.109146-11	superfamily I DNA and RNA helicase/uncharacterized protein YjbI with pentapeptide repeats	Cyanobacteria
Ga0224629_1000089.2	NODE_89_length_53543_cov_7.653455-11	ribonuclease J	Cyanobacteria
Ga0224629_1002444.27	NODE_2444_length_16197_cov_8.409305-14	propanol-preferring alcohol dehydrogenase	Cyanobacteria
Ga0224629_1006019.28	NODE_6019_length_10590_cov_7.556431-15	homogentisate phytyltransferase/homogentisate geranylgeranyltransferase	Cyanobacteria
Ga0224629_1009432.3	NODE_9432_length_8336_cov_8.285352-2	hypothetical protein	Cyanobacteria
Ga0224629_1013231.12	NODE_13231_length_6874_cov_10.024050-8	hypothetical protein	Cyanobacteria
Ga0224629_1016137.3	NODE_16137_length_6126_cov_8.420194-2	uracil phosphoribosyltransferase	Cyanobacteria
Ga0224629_1000552.10	NODE_552_length_29242_cov_29.438586-6	predicted MFS family arabinose efflux permease	Bacteroidetes
Ga0224629_1000762.30	NODE_762_length_26165_cov_30.063079-17	hypothetical protein	Bacteroidetes
Ga0224629_1005442.9	NODE_5442_length_11152_cov_38.604037-5	small subunit ribosomal protein S6	Bacteroidetes
Ga0224629_1000299.80	NODE_299_length_35695_cov_17.461111-43	hypothetical protein	Bacteroidetes
Ga0224629_1014396.6	NODE_14396_length_6544_cov_31.726922-4	hypothetical protein	Bacteroidetes
Ga0224629_1034733.7	NODE_34733_length_3755_cov_3.049459-4	hypothetical protein	Actinobacteria
Ga0224629_1000083.29	NODE_83_length_54218_cov_19.352547-15	urea transport system permease protein	Actinobacteria
